theta_bar,x_c,y_c,vx_c,vy_c,t_bar,nx_s,ny_s,nz_s,lam_x,lam_y,lam_vx,lam_vy,lam_t_bar
1.275000000000000092e-02,9.878725834702521968e-01,1.564636462448900645e-01,-1.562211471779960392e-01,9.876756019080155102e-01,1.275214018902408493e-02,9.323378849573423777e-01,-3.870229891417795165e-02,3.595110573153864064e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.013891264925009139e-01,-2.220740418357656232e+00,0.000000000000000000e+00
1.300000000000000114e-02,9.512659780713278446e-01,3.090850526316356595e-01,-3.087851168204139851e-01,9.510539180735932963e-01,1.300220598428269807e-02,9.425049407047406680e-01,8.345499174604082207e-03,3.340879964779933653e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.495853698116573538e-01,-2.145250666905743842e+00,0.000000000000000000e+00
1.324999999999999963e-02,8.912340950148097685e-01,4.541064528671818756e-01,-4.537409880599457823e-01,8.910175398003892244e-01,1.325228760252872458e-02,9.518489047645006806e-01,4.977679328087009775e-02,3.024994766099506349e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.082843513307447214e+00,-2.015798356846447259e+00,0.000000000000000000e+00
1.349999999999999985e-02,8.092528220031370845e-01,5.879565910936308537e-01,-5.875195868368701113e-01,8.090450897734959845e-01,1.350238556720689646e-02,9.601557700540991336e-01,8.547953924794590708e-02,2.660716925976511771e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.392716931016649173e+00,-1.835045567173051895e+00,0.000000000000000000e+00
1.375000000000000007e-02,7.073386910998695765e-01,7.073386910998701316e-01,-7.068270190196820346e-01,7.071553279453081098e-01,1.375250013344698867e-02,9.672461175097469832e-01,1.156250889289023726e-01,2.259774036767931982e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.671183565573309160e+00,-1.607018158700211252e+00,0.000000000000000000e+00
1.400000000000000029e-02,5.879993790353752470e-01,8.093117145525664524e-01,-8.087257790319563044e-01,5.878574303619109598e-01,1.400263129479113050e-02,9.729711129907845368e-01,1.405932191726990133e-01,1.831959606763518267e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.910882020276461590e+00,-1.337048556434890179e+00,0.000000000000000000e+00
1.425000000000000051e-02,4.541720813279722102e-01,8.913628981214186675e-01,-8.907070794906459810e-01,4.540891910834287115e-01,1.425277879589305699e-02,9.772041504072345175e-01,1.609031177499198051e-01,1.384999463004598641e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.105342464843099393e+00,-1.031672379360821790e+00,0.000000000000000000e+00
1.450000000000000074e-02,3.091512690292227417e-01,9.514697711880749642e-01,-9.507526203478783300e-01,3.091446700243283829e-01,1.450294215023708103e-02,9.798298395492585078e-01,1.771562211871069437e-01,9.246166137150642339e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.249201805027093659e+00,-6.984787167165948940e-01,0.000000000000000000e+00
1.475000000000000096e-02,1.565076026615953020e-01,9.881501133628092237e-01,-9.873842764743830935e-01,1.565930695624518643e-01,1.475312066185330111e-02,9.807317608323593561e-01,1.899932548240681751e-01,4.547280963407149268e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.338392339826018684e+00,-3.459166333481369926e-01,0.000000000000000000e+00
1.499999999999999944e-02,5.513658379830658620e-16,1.000498607919620753e+00,-9.997004805759183155e-01,1.908387888869766361e-04,1.500331344987861255e-02,9.797800216300001086e-01,2.000653519415780679e-01,-2.228041114744220685e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.370293709099584145e+00,1.693669039973259155e-02,0.000000000000000000e+00
