vx,vy,vz
-3.172487354273811434e+03,2.519406695268667136e+02,3.125365646276294228e+03
-3.519769814360699911e+03,-2.110043215748286229e+02,2.731703592347768790e+03
-3.780379429222642102e+03,-6.687483183977835779e+02,2.270782144054259334e+03
-3.947898791976205302e+03,-1.110019912121947527e+03,1.753950777238380397e+03
-4.018202699000101802e+03,-1.523953231644666175e+03,1.193935767422284016e+03
-3.989559783751440591e+03,-1.900355531901765517e+03,6.045268247928501069e+02
-3.862675187483418540e+03,-2.229958227445291868e+03,2.374977605205052800e-01
-3.640673178999821630e+03,-2.504645193160040890e+03,-6.040523298495662630e+02
-3.329020116651228818e+03,-2.717652660848408686e+03,-1.193463000543213184e+03
-2.935389752425340703e+03,-2.863735695739690073e+03,-1.753481448000663931e+03
-2.469474296429588776e+03,-2.939297239823683412e+03,-2.270318385034796847e+03
-1.942745825735884182e+03,-2.942476648102577656e+03,-2.731247733970405989e+03
-1.368173859416258210e+03,-2.873195516794869036e+03,-3.124919956144016396e+03
-7.599060439729698828e+02,-2.733159644129889330e+03,-3.441641527624906757e+03
-1.329198085495317798e+02,-2.525817060393871543e+03,-3.673613659720742362e+03
4.973464334294159812e+02,-2.256273152110770752e+03,-3.815124373997612111e+03
1.115373452619267709e+03,-1.931164965084391952e+03,-3.862689192301631465e+03
1.705943375572008335e+03,-1.558497779223743237e+03,-3.815136969498749750e+03
2.254514442475612213e+03,-1.147447979744869372e+03,-3.673638750000091932e+03
2.747579115530321815e+03,-7.081370814900875530e+02,-3.441678935191967412e+03
3.172996713776982688e+03,-2.513824746964116628e+02,-3.124969472300016150e+03
3.520292379305212307e+03,2.115689657711949110e+02,-2.731309180570294757e+03
3.780915011151287672e+03,6.693178441280151674e+02,-2.270391683014926002e+03
3.948447815722470295e+03,1.110592957280251312e+03,-1.753566678012458169e+03
4.018766291147598167e+03,1.524528844181563954e+03,-1.193560433734043499e+03
3.990139758522097509e+03,1.900933335985760550e+03,-6.041623915517998284e+02
3.863273943644408064e+03,2.230538519388612713e+03,1.144021083710563130e-01
3.641293564371226694e+03,2.505228934880395627e+03,6.043906729383112406e+02
3.329665355433023251e+03,2.718241392702565918e+03,1.193787305147896632e+03
2.936063428363426738e+03,2.864331488352262113e+03,1.753791716443232872e+03
2.470180283063404659e+03,2.939902719296733721e+03,2.270615201884744693e+03
1.943488124827820457e+03,2.943095025018521028e+03,2.731532449473496854e+03
1.368956363482795950e+03,2.873830571132848036e+03,3.125194869250798092e+03
7.607322497446835996e+02,2.733815650485768856e+03,3.441910021971668357e+03
1.337925113528814620e+02,2.526498654223066751e+03,3.673880267666886539e+03
-4.964254342553506376e+02,2.256985147079369654e+03,3.815394757768909130e+03
