nx,ny,nz
1.938795796918663106e-02,4.048284118419562816e-01,-9.141871056032810916e-01
1.357190391012160768e-01,4.025961742758361606e-01,-9.052605497225112430e-01
2.279982552595748446e-01,4.225697240913787178e-01,-8.771839167927818481e-01
3.013975910916947831e-01,4.559892469217215472e-01,-8.373967391719917552e-01
3.591276421814403319e-01,4.975013179960041665e-01,-7.896326837292374501e-01
4.032705420377709626e-01,5.436617215292580685e-01,-7.360739110092178183e-01
4.352757945109415605e-01,5.921428323504628333e-01,-6.781606364342007698e-01
4.562214208037794760e-01,6.413061930730873383e-01,-6.169184564639680346e-01
4.669428461690789955e-01,6.899560888710358775e-01,-5.531048488680089248e-01
4.680922035444167739e-01,7.371838527003896635e-01,-4.872880629553144605e-01
4.601643894823435610e-01,7.822594738012131899e-01,-4.199033821018721691e-01
4.435113298970062568e-01,8.245500273385253376e-01,-3.513046436770030923e-01
4.183574430480287987e-01,8.634559259307990065e-01,-2.818171638160134607e-01
3.848241913136098979e-01,8.983619559108184660e-01,-2.117926768137063376e-01
3.429682342480658286e-01,9.286033155750642587e-01,-1.416639424827702276e-01
2.928350075915645001e-01,9.534486974586333652e-01,-7.199471955139355450e-02
2.345268229260427661e-01,9.721032786345721322e-01,-3.519232321383541917e-03
1.682813486420526305e-01,9.837342292608195482e-01,6.283592825632031142e-02
9.455254847937515084e-02,9.875197163366581377e-01,1.259548546996963614e-01
1.408236254458969904e-02,9.827191449395767942e-01,1.845664358283749529e-01
-7.205119840794040054e-02,9.687577573584182922e-01,2.373120990718079193e-01
-1.624237468893189318e-01,9.453136466272318295e-01,2.828438366780499647e-01
-2.553020279381204016e-01,9.123914249981944780e-01,3.199418105225498854e-01
-3.487309070051389792e-01,8.703661875909793899e-01,3.476340806044730392e-01
-4.406606088551620060e-01,8.199853471549257700e-01,3.652974928118362108e-01
-5.290948611682143587e-01,7.623240975452885149e-01,3.727205363099132529e-01
-6.122349185684575756e-01,6.987004797941616108e-01,3.701162574393114246e-01
-6.885954622536128999e-01,6.305649104073186573e-01,3.580840447810307858e-01
-7.570757033340652642e-01,5.593836281758275408e-01,3.375297556513768282e-01
-8.169798484539052552e-01,4.865346656206873122e-01,3.095608928298273499e-01
-8.679916394663943491e-01,4.132296667054889960e-01,2.753756640861924621e-01
-9.101149826817084287e-01,3.404675491762387263e-01,2.361621609322688553e-01
-9.435955582629210747e-01,2.690191564819036096e-01,1.930184340218598082e-01
-9.688372948992758360e-01,1.994372957161196225e-01,1.468981316753031896e-01
-9.863242068020643405e-01,1.320843972531028365e-01,9.858129172699638121e-02
-9.965539340473871244e-01,6.717004461993036912e-02,4.866663785831683992e-02
-9.999855909857791048e-01,4.791993705506376010e-03,-2.419631614215460823e-03
-9.970018266905069648e-01,-5.502379836941778679e-02,-5.440348507948735562e-02
-9.878834704810247613e-01,-1.122867938047431291e-01,-1.071350768302220535e-01
-9.727946174360379006e-01,-1.670104215357737232e-01,-1.605557578721973355e-01
-9.517762171050025977e-01,-2.191860334983642689e-01,-2.146613967916567167e-01
-9.247468463522662274e-01,-2.687625591989721840e-01,-2.694623478973586783e-01
-8.915100573112438864e-01,-3.156324999853915569e-01,-3.249399062378678371e-01
-8.517681645687577019e-01,-3.596256990769473583e-01,-3.809991474932545308e-01
-8.051422153502096890e-01,-4.005134215601007242e-01,-4.374185778075475595e-01
-7.511967981718568055e-01,-4.380265343581142279e-01,-4.937976565503022219e-01
-6.894659423211103588e-01,-4.718929410798959334e-01,-5.495031997524939538e-01
-6.194723223795993716e-01,-5.019012049334294900e-01,-6.036134709331769654e-01
-5.407257914926828501e-01,-5.280006048498613325e-01,-6.548518761466537441e-01
-4.526774421113162195e-01,-5.504554504346579336e-01,-7.014855169498040999e-01
-3.545877326746549318e-01,-5.700891914998488241e-01,-7.411247220081760290e-01
-2.452315158559983665e-01,-5.886936530516435617e-01,-7.702605315655738361e-01
-1.222901498895874600e-01,-6.097611021945298360e-01,-7.830941945197235077e-01
1.882063860467236144e-02,-6.398124422741853223e-01,-7.683006067117575943e-01
1.865424665627706535e-01,-6.901905622584543210e-01,-6.991701480598526697e-01
3.880241279994586234e-01,-7.720725080366209747e-01,-5.033302280057314615e-01
5.582960287086485840e-01,-8.290111294181951029e-01,-3.234333979230643447e-02
4.669214763795074274e-01,-6.777208969968039343e-01,5.680481675610163927e-01
2.229211210041339153e-01,-4.748030527613157914e-01,8.513919396487117375e-01
2.526564099104808281e-02,-3.747116520745877311e-01,9.267970787528652110e-01
-1.194462828011589178e-01,-3.461999869311983002e-01,9.305257409517609934e-01
-2.291800024152358672e-01,-3.559345012760676830e-01,9.059730444634153113e-01
-3.145338262925450601e-01,-3.864965527356836184e-01,8.669999347411763146e-01
-3.810958463065958757e-01,-4.286871140470737696e-01,8.191418156692105157e-01
-4.320462040121967329e-01,-4.772172426849354276e-01,7.652449156203774416e-01
-4.694312929291492575e-01,-5.288029865735722757e-01,7.071079568281901651e-01
-4.947399591433334076e-01,-5.812923685232515014e-01,6.460120394570685320e-01
-5.091558212355079549e-01,-6.332278218486587784e-01,5.829089768898734203e-01
-5.136598441849671293e-01,-6.836005950470872561e-01,5.185014859411142263e-01
